Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
45,80C4101040,3AB,AEF5,3A0,03B4,000,FFF5,03B4,080,0000C4
C4,80DE801040,3AB,AEF5,3A0,03B4,000,FFF5,03B4,080,0000C5
C5,8001401040,3AB,AEF5,3A0,03B4,000,FFF5,03B4,080,000001
01,00A0009004,3AB,AEF5,3AB,03B4,000,03AB,03B4,080,000002
02,0104009420,3AC,AEF5,3AB,EEF5,000,03AB,03B4,080,000003
03,0002009001,3AC,EEF5,3AB,EEF5,000,03AB,03B4,080,000004
04,8109804002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,080,000009
09,800C404002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,080,00000A
0A,800C204002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,080,00000B
0B,8157104002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,080,00000C
0C,8024084002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,080,00000D
0D,0020011002,3AC,EEF5,3AB,EEF5,000,FFF5,03B4,080,00000E
0E,811C044002,3AC,EEF5,3AB,EEF5,000,FFF5,03B4,080,00001C
1C,8120024002,3AC,EEF5,3AB,EEF5,000,FFF5,03B4,080,000020
20,8023014002,3AC,EEF5,3AB,EEF5,000,FFF5,03B4,080,000023
23,0001009024,3AC,EEF5,3AB,03A1,000,FFF5,03B4,080,000024
24,8026804002,3AC,EEF5,3AB,03A1,000,FFF5,03B4,080,000025
25,814A404002,3AC,EEF5,3AB,03A1,000,FFF5,03B4,080,00004A
4A,8153204002,3AC,EEF5,3AB,03A1,000,FFF5,03B4,080,000053
53,0080009001,3AC,EEF5,3A1,03A1,000,FFF5,03B4,080,000054
54,0001009010,3AC,EEF5,3A1,03B4,000,FFF5,03B4,080,000055
55,0200000000,3AC,EEF5,3A1,03B4,000,FFF5,03B4,080,000056
56,80C4101040,3AC,EEF5,3A1,03B4,000,FFF5,03B4,080,0000C4
C4,80DE801040,3AC,EEF5,3A1,03B4,000,FFF5,03B4,080,0000C5
C5,8001401040,3AC,EEF5,3A1,03B4,000,FFF5,03B4,080,000001
01,00A0009004,3AC,EEF5,3AC,03B4,000,03AC,03B4,080,000002
02,0104009420,3AD,EEF5,3AC,AAF4,000,03AC,03B4,080,000003
03,0002009001,3AD,AAF4,3AC,AAF4,000,03AC,03B4,080,000004
04,8109804002,3AD,AAF4,3AC,AAF4,000,03AC,03B4,080,000009
09,800C404002,3AD,AAF4,3AC,AAF4,000,03AC,03B4,080,00000C
0C,8024084002,3AD,AAF4,3AC,AAF4,000,03AC,03B4,080,00000D
0D,0020011002,3AD,AAF4,3AC,AAF4,000,FFF4,03B4,080,00000E
0E,811C044002,3AD,AAF4,3AC,AAF4,000,FFF4,03B4,080,00000F
0F,0080009024,3AD,AAF4,3A1,AAF4,000,FFF4,03B4,080,000010
10,0100000000,3AD,AAF4,3A1,03B4,000,FFF4,03B4,080,000011
11,8114024002,3AD,AAF4,3A1,03B4,000,FFF4,03B4,080,000014
14,8119014002,3AD,AAF4,3A1,03B4,000,FFF4,03B4,080,000015
15,0001009401,3AD,AAF4,3A1,03B5,000,FFF4,03B4,080,000016
16,0200000000,3AD,AAF4,3A1,03B5,000,FFF4,03B4,080,000017
17,0001009201,3AD,AAF4,3A1,03B4,000,FFF4,03B4,080,000018
18,8024101040,3AD,AAF4,3A1,03B4,000,FFF4,03B4,080,000024
24,8026804002,3AD,AAF4,3A1,03B4,000,FFF4,03B4,080,000025
25,814A404002,3AD,AAF4,3A1,03B4,000,FFF4,03B4,080,000026
26,0080009001,3AD,AAF4,3B4,03B4,000,FFF4,03B4,080,000027
27,0100000000,3AD,AAF4,3B4,0000,000,FFF4,03B4,080,000028
28,813C804002,3AD,AAF4,3B4,0000,000,FFF4,03B4,080,00003C
3C,8143204002,3AD,AAF4,3B4,0000,000,FFF4,03B4,080,000043
43,8146104002,3AD,AAF4,3B4,0000,000,FFF4,03B4,080,000044
44,0010C09001,3AD,AAF4,3B4,0000,000,FFF4,0000,084,010045
45,80C4101040,3AD,AAF4,3B4,0000,000,FFF4,0000,084,0100C4
C4,80DE801040,3AD,AAF4,3B4,0000,000,FFF4,0000,084,0100C5
C5,8001401040,3AD,AAF4,3B4,0000,000,FFF4,0000,084,010001
01,00A0009004,3AD,AAF4,3AD,0000,000,03AD,0000,084,010002
02,0104009420,3AE,AAF4,3AD,F003,000,03AD,0000,084,010003
03,0002009001,3AE,F003,3AD,F003,000,03AD,0000,084,010004
04,8109804002,3AE,F003,3AD,F003,000,03AD,0000,084,010009
09,800C404002,3AE,F003,3AD,F003,000,03AD,0000,084,01000A
0A,800C204002,3AE,F003,3AD,F003,000,03AD,0000,084,01000B
0B,8157104002,3AE,F003,3AD,F003,000,03AD,0000,084,010057
57,8171084002,3AE,F003,3AD,F003,000,03AD,0000,084,010058
58,8166044002,3AE,F003,3AD,F003,000,03AD,0000,084,010059
59,8161024002,3AE,F003,3AD,F003,000,03AD,0000,084,01005A
5A,815F014002,3AE,F003,3AD,F003,000,03AD,0000,084,01005B
5B,80C4041040,3AE,F003,3AD,F003,000,03AD,0000,084,01005C
5C,0020011002,3AE,F003,3AD,F003,000,0003,0000,084,01005D
5D,0004009024,3B1,F003,3AD,F003,000,0003,0000,084,01005E
5E,80C4101040,3B1,F003,3AD,F003,000,0003,0000,084,0100C4
C4,80DE801040,3B1,F003,3AD,F003,000,0003,0000,084,0100C5
C5,8001401040,3B1,F003,3AD,F003,000,0003,0000,084,010001
01,00A0009004,3B1,F003,3B1,F003,000,03B1,0000,084,010002
02,0104009420,3B2,F003,3B1,83A2,000,03B1,0000,084,010003
03,0002009001,3B2,83A2,3B1,83A2,000,03B1,0000,084,010004
04,8109804002,3B2,83A2,3B1,83A2,000,03B1,0000,084,010009
09,800C404002,3B2,83A2,3B1,83A2,000,03B1,0000,084,01000C
0C,8024084002,3B2,83A2,3B1,83A2,000,03B1,0000,084,010024
24,8026804002,3B2,83A2,3B1,83A2,000,03B1,0000,084,010025
25,814A404002,3B2,83A2,3B1,83A2,000,03B1,0000,084,010026
26,0080009001,3B2,83A2,3A2,83A2,000,03B1,0000,084,010027
27,0100000000,3B2,83A2,3A2,0004,000,03B1,0000,084,010028
28,813C804002,3B2,83A2,3A2,0004,000,03B1,0000,084,01003C
3C,8143204002,3B2,83A2,3A2,0004,000,03B1,0000,084,01003D
3D,81E0104002,3B2,83A2,3A2,0004,000,03B1,0000,084,01003E
3E,0001009201,3B2,83A2,3A2,0003,000,03B1,0000,084,01003F
3F,0220009201,3B2,83A2,3A2,0003,000,0002,0000,084,010040
40,80C4804020,3B2,83A2,3A2,0003,000,0002,0000,084,0100C4
C4,80DE801040,3B2,83A2,3A2,0003,000,0002,0000,084,0100C5
C5,8001401040,3B2,83A2,3A2,0003,000,0002,0000,084,010001
01,00A0009004,3B2,83A2,3B2,0003,000,03B2,0000,084,010002
02,0104009420,3B3,83A2,3B2,CEF9,000,03B2,0000,084,010003
03,0002009001,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,010004
04,8109804002,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,010009
09,800C404002,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,01000A
0A,800C204002,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,01000C
0C,8024084002,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,01000D
0D,0020011002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,084,01000E
0E,811C044002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,084,01001C
1C,8120024002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,084,010020
20,8023014002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,084,010023
23,0001009024,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,010024
24,8026804002,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,010025
25,814A404002,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,01004A
4A,8153204002,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,01004B
4B,814E104002,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,01004C
4C,0004009001,3AC,CEF9,3B2,03AC,000,FFF9,0000,084,01004D
4D,80C4101040,3AC,CEF9,3B2,03AC,000,FFF9,0000,084,0100C4
C4,80DE801040,3AC,CEF9,3B2,03AC,000,FFF9,0000,084,0100C5
C5,8001401040,3AC,CEF9,3B2,03AC,000,FFF9,0000,084,010001
01,00A0009004,3AC,CEF9,3AC,03AC,000,03AC,0000,084,010002
02,0104009420,3AD,CEF9,3AC,AAF4,000,03AC,0000,084,010003
03,0002009001,3AD,AAF4,3AC,AAF4,000,03AC,0000,084,010004
