Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
C4,80DE801040,11E,0000,11D,0000,000,011D,FFFF,008,1000DE
DE,4000000000,11E,0000,11D,0000,000,011D,FFFF,008,1000DF
DF,8001101040,11E,0000,11D,0000,000,011D,FFFF,008,100001
01,00A0009004,11E,0000,11E,0000,000,011E,FFFF,008,100002
02,0104009420,11F,0000,11E,0000,000,011E,FFFF,008,100003
03,0002009001,11F,0000,11E,0000,000,011E,FFFF,008,100004
04,8109804002,11F,0000,11E,0000,000,011E,FFFF,008,100005
05,810C404002,11F,0000,11E,0000,000,011E,FFFF,008,100006
06,810C204002,11F,0000,11E,0000,000,011E,FFFF,008,100007
07,8078104002,11F,0000,11E,0000,000,011E,FFFF,008,100078
78,81A4084002,11F,0000,11E,0000,000,011E,FFFF,008,100079
79,8189044002,11F,0000,11E,0000,000,011E,FFFF,008,10007A
7A,817D024002,11F,0000,11E,0000,000,011E,FFFF,008,10007B
7B,80C4014002,11F,0000,11E,0000,000,011E,FFFF,008,1000C4
C4,80DE801040,11F,0000,11E,0000,000,011E,FFFF,008,1000DE
DE,4000000000,11F,0000,11E,0000,000,011E,FFFF,008,1000DF
DF,8001101040,11F,0000,11E,0000,000,011E,FFFF,008,100001
01,00A0009004,11F,0000,11F,0000,000,011F,FFFF,008,100002
02,0104009420,120,0000,11F,0000,000,011F,FFFF,008,100003
03,0002009001,120,0000,11F,0000,000,011F,FFFF,008,100004
04,8109804002,120,0000,11F,0000,000,011F,FFFF,008,100005
05,810C404002,120,0000,11F,0000,000,011F,FFFF,008,100006
06,810C204002,120,0000,11F,0000,000,011F,FFFF,008,100007
07,8078104002,120,0000,11F,0000,000,011F,FFFF,008,100078
78,81A4084002,120,0000,11F,0000,000,011F,FFFF,008,100079
79,8189044002,120,0000,11F,0000,000,011F,FFFF,008,10007A
7A,817D024002,120,0000,11F,0000,000,011F,FFFF,008,10007B
7B,80C4014002,120,0000,11F,0000,000,011F,FFFF,008,1000C4
C4,80DE801040,120,0000,11F,0000,000,011F,FFFF,008,1000DE
DE,4000000000,120,0000,11F,0000,000,011F,FFFF,008,1000DF
DF,8001101040,120,0000,11F,0000,000,011F,FFFF,008,100001
01,00A0009004,120,0000,120,0000,000,0120,FFFF,008,100002
02,0104009420,121,0000,120,0000,000,0120,FFFF,008,100003
03,0002009001,121,0000,120,0000,000,0120,FFFF,008,100004
04,8109804002,121,0000,120,0000,000,0120,FFFF,008,100005
05,810C404002,121,0000,120,0000,000,0120,FFFF,008,100006
06,810C204002,121,0000,120,0000,000,0120,FFFF,008,100007
07,8078104002,121,0000,120,0000,000,0120,FFFF,008,100078
78,81A4084002,121,0000,120,0000,000,0120,FFFF,008,100079
79,8189044002,121,0000,120,0000,000,0120,FFFF,008,10007A
7A,817D024002,121,0000,120,0000,000,0120,FFFF,008,10007B
7B,80C4014002,121,0000,120,0000,000,0120,FFFF,008,1000C4
C4,80DE801040,121,0000,120,0000,000,0120,FFFF,008,1000DE
DE,4000000000,121,0000,120,0000,000,0120,FFFF,008,1000DF
DF,8001101040,121,0000,120,0000,000,0120,FFFF,008,100001
01,00A0009004,121,0000,121,0000,000,0121,FFFF,008,100002
02,0104009420,122,0000,121,0000,000,0121,FFFF,008,100003
03,0002009001,122,0000,121,0000,000,0121,FFFF,008,100004
04,8109804002,122,0000,121,0000,000,0121,FFFF,008,100005
05,810C404002,122,0000,121,0000,000,0121,FFFF,008,100006
06,810C204002,122,0000,121,0000,000,0121,FFFF,008,100007
07,8078104002,122,0000,121,0000,000,0121,FFFF,008,100078
78,81A4084002,122,0000,121,0000,000,0121,FFFF,008,100079
79,8189044002,122,0000,121,0000,000,0121,FFFF,008,10007A
7A,817D024002,122,0000,121,0000,000,0121,FFFF,008,10007B
7B,80C4014002,122,0000,121,0000,000,0121,FFFF,008,1000C4
C4,80DE801040,122,0000,121,0000,000,0121,FFFF,008,1000DE
DE,4000000000,122,0000,121,0000,000,0121,FFFF,008,1000DF
DF,8001101040,122,0000,121,0000,000,0121,FFFF,008,100001
01,00A0009004,122,0000,122,0000,000,0122,FFFF,008,100002
02,0104009420,123,0000,122,0000,000,0122,FFFF,008,100003
03,0002009001,123,0000,122,0000,000,0122,FFFF,008,100004
04,8109804002,123,0000,122,0000,000,0122,FFFF,008,100005
05,810C404002,123,0000,122,0000,000,0122,FFFF,008,100006
06,810C204002,123,0000,122,0000,000,0122,FFFF,008,100007
07,8078104002,123,0000,122,0000,000,0122,FFFF,008,100078
78,81A4084002,123,0000,122,0000,000,0122,FFFF,008,100079
79,8189044002,123,0000,122,0000,000,0122,FFFF,008,10007A
7A,817D024002,123,0000,122,0000,000,0122,FFFF,008,10007B
7B,80C4014002,123,0000,122,0000,000,0122,FFFF,008,1000C4
C4,80DE801040,123,0000,122,0000,000,0122,FFFF,008,1000DE
DE,4000000000,123,0000,122,0000,000,0122,FFFF,008,1000DF
DF,8001101040,123,0000,122,0000,000,0122,FFFF,008,100001
01,00A0009004,123,0000,123,0000,000,0123,FFFF,008,100002
02,0104009420,124,0000,123,0000,000,0123,FFFF,008,100003
03,0002009001,124,0000,123,0000,000,0123,FFFF,008,100004
04,8109804002,124,0000,123,0000,000,0123,FFFF,008,100005
05,810C404002,124,0000,123,0000,000,0123,FFFF,008,100006
06,810C204002,124,0000,123,0000,000,0123,FFFF,008,100007
07,8078104002,124,0000,123,0000,000,0123,FFFF,008,100078
78,81A4084002,124,0000,123,0000,000,0123,FFFF,008,100079
79,8189044002,124,0000,123,0000,000,0123,FFFF,008,10007A
7A,817D024002,124,0000,123,0000,000,0123,FFFF,008,10007B
7B,80C4014002,124,0000,123,0000,000,0123,FFFF,008,1000C4
C4,80DE801040,124,0000,123,0000,000,0123,FFFF,008,1000DE
DE,4000000000,124,0000,123,0000,000,0123,FFFF,008,1000DF
DF,8001101040,124,0000,123,0000,000,0123,FFFF,008,100001
01,00A0009004,124,0000,124,0000,000,0124,FFFF,008,100002
02,0104009420,125,0000,124,0000,000,0124,FFFF,008,100003
03,0002009001,125,0000,124,0000,000,0124,FFFF,008,100004
04,8109804002,125,0000,124,0000,000,0124,FFFF,008,100005
05,810C404002,125,0000,124,0000,000,0124,FFFF,008,100006
06,810C204002,125,0000,124,0000,000,0124,FFFF,008,100007
07,8078104002,125,0000,124,0000,000,0124,FFFF,008,100078
78,81A4084002,125,0000,124,0000,000,0124,FFFF,008,100079
79,8189044002,125,0000,124,0000,000,0124,FFFF,008,10007A
7A,817D024002,125,0000,124,0000,000,0124,FFFF,008,10007B
7B,80C4014002,125,0000,124,0000,000,0124,FFFF,008,1000C4
C4,80DE801040,125,0000,124,0000,000,0124,FFFF,008,1000DE
DE,4000000000,125,0000,124,0000,000,0124,FFFF,008,1000DF
DF,8001101040,125,0000,124,0000,000,0124,FFFF,008,100001
01,00A0009004,125,0000,125,0000,000,0125,FFFF,008,100002
02,0104009420,126,0000,125,0000,000,0125,FFFF,008,100003
03,0002009001,126,0000,125,0000,000,0125,FFFF,008,100004
04,8109804002,126,0000,125,0000,000,0125,FFFF,008,100005
05,810C404002,126,0000,125,0000,000,0125,FFFF,008,100006
06,810C204002,126,0000,125,0000,000,0125,FFFF,008,100007
07,8078104002,126,0000,125,0000,000,0125,FFFF,008,100078
78,81A4084002,126,0000,125,0000,000,0125,FFFF,008,100079
79,8189044002,126,0000,125,0000,000,0125,FFFF,008,10007A
7A,817D024002,126,0000,125,0000,000,0125,FFFF,008,10007B
7B,80C4014002,126,0000,125,0000,000,0125,FFFF,008,1000C4
