Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
0D,0020011002,3AA,EEF8,3A9,EEF8,000,FFF8,0004,000,00000E
0E,811C044002,3AA,EEF8,3A9,EEF8,000,FFF8,0004,000,00001C
1C,8120024002,3AA,EEF8,3A9,EEF8,000,FFF8,0004,000,000020
20,8023014002,3AA,EEF8,3A9,EEF8,000,FFF8,0004,000,000023
23,0001009024,3AA,EEF8,3A9,03A2,000,FFF8,0004,000,000024
24,8026804002,3AA,EEF8,3A9,03A2,000,FFF8,0004,000,000025
25,814A404002,3AA,EEF8,3A9,03A2,000,FFF8,0004,000,00004A
4A,8153204002,3AA,EEF8,3A9,03A2,000,FFF8,0004,000,000053
53,0080009001,3AA,EEF8,3A2,03A2,000,FFF8,0004,000,000054
54,0001009010,3AA,EEF8,3A2,0004,000,FFF8,0004,000,000055
55,0200000000,3AA,EEF8,3A2,0004,000,FFF8,0004,000,000056
56,80C4101040,3AA,EEF8,3A2,0004,000,FFF8,0004,000,0000C4
C4,80DE801040,3AA,EEF8,3A2,0004,000,FFF8,0004,000,0000DE
DE,4000000000,3AA,EEF8,3A2,0004,000,FFF8,0004,000,0000DF
DF,8001101040,3AA,EEF8,3A2,0004,000,FFF8,0004,000,000001
01,00A0009004,3AA,EEF8,3AA,0004,000,03AA,0004,000,000002
02,0104009420,3AB,EEF8,3AA,AEF5,000,03AA,0004,000,000003
03,0002009001,3AB,AEF5,3AA,AEF5,000,03AA,0004,000,000004
04,8109804002,3AB,AEF5,3AA,AEF5,000,03AA,0004,000,000009
09,800C404002,3AB,AEF5,3AA,AEF5,000,03AA,0004,000,00000C
0C,8024084002,3AB,AEF5,3AA,AEF5,000,03AA,0004,000,00000D
0D,0020011002,3AB,AEF5,3AA,AEF5,000,FFF5,0004,000,00000E
0E,811C044002,3AB,AEF5,3AA,AEF5,000,FFF5,0004,000,00001C
1C,8120024002,3AB,AEF5,3AA,AEF5,000,FFF5,0004,000,000020
20,8023014002,3AB,AEF5,3AA,AEF5,000,FFF5,0004,000,000023
23,0001009024,3AB,AEF5,3AA,03A0,000,FFF5,0004,000,000024
24,8026804002,3AB,AEF5,3AA,03A0,000,FFF5,0004,000,000025
25,814A404002,3AB,AEF5,3AA,03A0,000,FFF5,0004,000,000026
26,0080009001,3AB,AEF5,3A0,03A0,000,FFF5,0004,000,000027
27,0100000000,3AB,AEF5,3A0,03B4,000,FFF5,0004,000,000028
28,813C804002,3AB,AEF5,3A0,03B4,000,FFF5,0004,000,00003C
3C,8143204002,3AB,AEF5,3A0,03B4,000,FFF5,0004,000,000043
43,8146104002,3AB,AEF5,3A0,03B4,000,FFF5,0004,000,000044
